Year,Month,Temparature,Humidity,Rainfall,Sunshine
1990,1,12.699107142857143,78.875,0.0,6.616517857142857
1990,2,17.66517857142857,79.38392857142857,2.3482142857142856,6.682440476190475
1990,3,19.31607142857143,79.51785714285714,6.0,6.827678571428571
1990,4,23.79642857142857,81.02678571428572,3.0892857142857144,7.568650793650794
1990,5,25.130357142857143,80.4375,7.357142857142858,6.575
1990,6,26.32767857142857,86.10714285714286,10.991071428571427,3.5660383597883603
1990,7,25.691964285714285,89.33928571428572,20.651785714285715,2.8044642857142854
1990,8,26.199107142857144,85.65178571428572,9.267857142857142,4.987980769230769
1990,9,25.72232142857143,87.71428571428572,12.625,4.558928571428572
1990,10,23.560714285714283,84.64285714285714,7.889550264550264,5.11411401098901
1990,11,20.91875,81.92857142857143,2.2232142857142856,5.736607142857143
1990,12,14.652678571428574,79.19642857142857,0.7767857142857142,7.162268518518519
1991,1,12.907142857142857,78.21428571428572,0.4196428571428571,6.344196428571428
1991,2,17.23392857142857,76.74107142857142,0.9732142857142857,7.93125
1991,3,21.62053571428571,74.04464285714286,1.1071428571428572,8.228174603174603
1991,4,22.843526785714285,75.60491071428571,1.1897321428571428,7.780580357142857
1991,5,25.728665413533836,81.9672619047619,4.2,6.835019841269841
1991,6,25.8125,87.3125,20.535714285714285,6.391608796296296
1991,7,26.299107142857146,86.74107142857143,14.767857142857142,4.674330357142857
1991,8,26.235714285714288,87.65178571428571,12.785714285714285,4.224107142857143
1991,9,25.904464285714283,88.85714285714286,13.535714285714286,3.740357142857143
1991,10,24.42232142857143,86.15178571428571,4.125,5.215178571428572
1991,11,18.72142857142857,79.84821428571428,0.8035714285714285,6.575892857142857
1991,12,14.850429894179895,79.73214285714286,1.0267857142857144,6.645535714285714
1992,1,12.179464285714285,80.07142857142857,0.2142857142857143,6.833928571428572
1992,2,16.13125,78.09821428571428,4.276785714285714,7.093071428571429
1992,3,22.304464285714285,77.21428571428571,0.008928571428571428,7.898214285714285
1992,4,25.316071428571426,75.29464285714286,0.19642857142857142,8.006514550264551
1992,5,24.369642857142857,80.07142857142857,5.732142857142857,6.734464285714285
1992,6,26.236607142857146,82.98214285714286,9.696428571428571,5.229464285714286
1992,7,25.61875,88.28571428571428,14.651785714285715,2.9723214285714286
1992,8,25.92232142857143,86.79464285714286,13.764550264550266,4.776714285714286
1992,9,25.961607142857147,85.78571428571429,10.410714285714286,5.045535714285714
1992,10,24.396428571428572,84.32142857142857,6.7767857142857135,6.87706043956044
1992,11,19.733035714285712,80.5,0.4017857142857143,6.865521978021978
1992,12,13.750000000000002,78.6875,0.19642857142857142,7.759821428571429
1993,1,13.050892857142857,78.17857142857143,1.1696428571428572,7.001785714285714
1993,2,17.152678571428574,77.30357142857143,2.3482142857142856,7.950892857142857
1993,3,19.40982142857143,73.76785714285714,5.535714285714286,7.842261904761905
1993,4,23.727678571428573,78.10714285714286,2.6607142857142856,8.175504658385094
1993,5,24.935714285714287,81.64285714285714,8.714285714285715,6.554695767195767
1993,6,25.82321428571429,86.35714285714286,19.544642857142858,3.6017857142857137
1993,7,26.333928571428572,88.30357142857143,15.008928571428571,3.5098214285714286
1993,8,26.36339285714286,89.13392857142857,16.160714285714285,3.689285714285714
1993,9,25.50714285714286,88.30357142857142,10.669642857142858,4.411607142857143
1993,10,24.70089285714286,85.25,4.544642857142858,6.629464285714286
1993,11,19.973214285714285,81.42857142857143,0.7946428571428572,7.914285714285715
1993,12,14.991765873015874,78.48214285714286,0.0,7.9035714285714285
1994,1,13.361607142857142,77.66964285714286,0.1607142857142857,7.733928571428572
1994,2,15.840178571428572,75.83928571428572,0.49107142857142855,7.317857142857143
1994,3,21.801785714285714,76.48214285714286,1.7232142857142856,8.333035714285714
1994,4,23.55357142857143,78.4375,6.883928571428571,7.5304976851851855
1994,5,25.721626984126985,81.34821428571428,4.982142857142857,7.048214285714286
1994,6,26.51339285714286,88.46428571428572,15.875,2.5151785714285713
1994,7,26.320535714285715,87.90178571428572,10.142857142857142,4.0339285714285715
1994,8,26.205357142857146,88.48214285714286,14.607142857142858,3.684821428571429
1994,9,25.911111111111115,84.78571428571428,8.107142857142858,6.328571428571428
1994,10,24.380357142857143,83.44642857142857,3.3839285714285716,6.534821428571429
1994,11,19.90625,81.08035714285714,0.25,6.179464285714285
1994,12,13.95357142857143,78.08035714285714,0.0,7.586210317460318
1995,1,12.434821428571428,76.44642857142857,0.23214285714285715,6.203571428571428
1995,2,16.12589285714286,78.8125,2.491071428571429,6.786607142857143
1995,3,19.83125,72.04464285714286,0.6071428571428572,8.610714285714286
1995,4,24.860714285714288,76.54464285714286,0.8660714285714286,8.533928571428572
1995,5,26.96607142857143,82.16964285714286,7.125,5.973214285714285
1995,6,26.521428571428576,87.34821428571429,15.446428571428571,3.0223214285714284
1995,7,26.095535714285717,89.4375,17.276785714285715,3.3446428571428575
1995,8,25.990079365079367,88.49107142857143,11.428571428571427,4.640178571428572
1995,9,25.932142857142857,88.36607142857143,8.535714285714286,3.899107142857143
1995,10,24.447916666666668,85.875,3.8039021164021163,6.967857142857142
1995,11,20.637268518518518,85.29464285714286,8.026785714285714,5.973214285714286
1995,12,14.605357142857144,78.55357142857143,0.0,8.516964285714286
1996,1,13.799107142857144,78.83928571428572,0.08035714285714285,7.841964285714285
1996,2,15.57232142857143,77.09821428571428,0.9910714285714286,8.241071428571429
1996,3,22.39732142857143,78.42857142857143,0.33035714285714285,8.351785714285715
1996,4,24.25357142857143,78.41071428571428,1.9642857142857142,7.871990740740741
1996,5,26.01964285714286,80.99107142857143,3.7410714285714284,7.736813186813187
1996,6,25.587500000000002,85.00892857142857,15.973214285714286,5.008035714285715
1996,7,26.242294973544972,87.66964285714286,10.607142857142858,3.353708791208791
1996,8,25.533035714285717,89.41071428571428,18.598214285714285,3.446428571428571
1996,9,26.025,86.8125,8.008928571428571,5.49375
1996,10,23.53214285714286,83.46428571428572,6.1875,7.667857142857144
1996,11,19.278571428571432,81.19642857142857,0.8214285714285714,8.10625
1996,12,14.376785714285715,77.71428571428572,0.0,7.079464285714286
1997,1,12.024107142857144,76.0,0.2767857142857143,7.549107142857143
1997,2,15.429464285714285,75.75,1.1160714285714286,7.963392857142856
1997,3,21.4875,78.10714285714286,2.5625,7.727215608465609
1997,4,21.24543650793651,80.25892857142857,5.098214285714286,7.4401785714285715
1997,5,24.716071428571432,80.94642857142857,6.839285714285714,7.1535714285714285
1997,6,25.577678571428574,84.65178571428571,9.080357142857142,5.048214285714286
1997,7,25.469940476190477,89.58928571428572,20.901785714285715,3.1607142857142856
1997,8,25.91875,86.71428571428571,13.714285714285714,4.762499999999999
1997,9,25.45357142857143,88.70535714285714,14.4375,4.441071428571428
