Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock
43.51560457566146,3.2800403979727846,2.686678221554581,2.519361910346804,0,0,3,107273.68811873643
81.17938641807055,3.088636904400778,2.64288118756589,1.6717455286745466,0,0,19,101115.80061866024
142.76877145867044,2.897027724292784,2.591266844434386,1.756058351584466,0,0,43,92538.25222919988
198.72419718113963,2.734758141650529,2.5739962510653003,1.2996679180861967,0,0,51,83901.05085584491
470.2387220801,2.5921429586418117,2.569157943154203,1.3394691050410108,0,0,34,73189.09112324847
539.4427295924226,2.484613503934833,2.5597050159118466,1.193468098878446,0,0,25,62403.361793326105
2460.0562244465714,2.4143315786846564,2.5529231042754414,1.265430903276274,0,0,13,50683.82850398665
2581.937239177697,2.3586731239629453,2.543839489192715,1.2276882793181862,3,0,7,53697.04322629128
-532.0427480352236,2.3370344358069484,2.5297759029070246,1.3159517344272553,5,0,15,57625.19554292355
-207.89665253036938,2.319280494861839,2.520978640204061,1.2585734400840378,6,0,22,47560.09324019736
-162.93374547574948,2.2992928327151017,2.5263670264043445,1.1341789233896746,18,0,36,51942.05789965703
-91.64962236011864,2.2859603915383073,2.5149273362289253,1.1349031302793127,21,0,47,57000.46420928723
-69.48104255927772,2.2834149547874056,2.506973047266033,1.0322746445947717,29,0,33,47995.58144516968
-57.862372303850684,2.276104210819973,2.504329834327107,0.9865151908398206,35,0,34,53608.29162472314
-42.448839523361656,2.266712467391173,2.5016796946114583,0.9978000796818698,40,0,18,59571.73674600372
-35.15892190572622,2.2635656213229702,2.502220826974293,0.9586541441392912,49,0,18,51430.72727786055
-32.35534515482962,2.266412707863872,2.4799335290616464,0.88690044355778,55,0,17,57353.38268880741
-27.425255314990785,2.2707437987607006,2.488082483664755,0.8628841920541399,58,0,18,48568.84893290748
-28.856014705268056,2.2660778135110515,2.4822401458671797,0.7369339326074058,61,0,27,53571.45565535562
-23.159206650992882,2.267574306373739,2.4855655217549013,0.7815965195009428,67,0,39,58909.70795939471
-23.14664545668169,2.2620185919651705,2.4723971758105656,0.7016279272615928,72,1,21,49730.61861317247
-22.192387449384874,2.2611517499327674,2.4742870546249978,0.697112749855663,72,1,33,54623.95451442368
-19.418640120521637,2.258642434568761,2.471910286598977,0.7016241462575299,80,1,19,59694.68424568205
-19.14661221515743,2.2634086523693098,2.485459091524708,0.6682283681185018,86,1,20,50233.370147144684
-18.651978895383493,2.2605220009745697,2.480971738501947,0.6387264409811025,89,2,18,54736.390701864744
-16.569149781615728,2.261067597648144,2.4717603416526726,0.647051689869848,84,2,27,59681.58198066596
-16.329621968752658,2.2614031223540247,2.4698379775487083,0.6060108445026245,87,3,32,50153.383548703976
-15.887847096266315,2.262622276161673,2.4736659774988476,0.5822899200890167,88,3,31,54814.1595571391
-13.930691122834428,2.271904803981279,2.4692849141449615,0.5917770427210723,92,3,20,60306.02576918794
-13.493265968030105,2.2576539519160392,2.4615447275701223,0.5715846333718653,95,3,27,51346.9129124165
-13.472893562244888,2.2523815464682513,2.464479303974369,0.5389878119979852,95,3,23,56387.8119262389
-12.297438624402629,2.260204867678479,2.4677719878708557,0.5555234444213168,99,3,28,61541.427212448434
-11.81238049172013,2.266059098337394,2.482560019697611,0.5351900010913951,102,3,22,52422.8962460358
-11.93486055384864,2.266124714539528,2.4754185599515015,0.495387425534486,102,3,28,57646.14580458224
-10.715514495635578,2.260556759974577,2.472839451072953,0.5146217410474361,97,4,29,48161.289841908154
-11.567183735810321,2.2656376469013186,2.470038202411853,0.44881328789218494,98,4,20,53074.90366298332
-9.767744829560325,2.2535296937839875,2.473352540806609,0.4963713918551318,98,4,30,58029.44613929586
-10.564774934120695,2.2601491874483584,2.474144934841157,0.4514152516868517,102,3,24,48567.479598457205
-9.708618590140913,2.2607949838908263,2.479243716522005,0.4614812273979842,107,3,20,53240.83399133478
-9.533126969114594,2.250298638747264,2.496533625861045,0.44746954371072045,105,3,23,58557.31586039916
-8.772702909819973,2.250787753352327,2.484872939372875,0.4467396253940484,106,3,16,49268.15526051437
-9.159833177623193,2.245655951764054,2.4860433417699705,0.4136194416792672,101,3,28,54467.38802403939
-8.313693227968148,2.24573949667331,2.474498784593441,0.42605729344537957,113,2,26,59266.5666668078
-8.64833539392697,2.2477608874553128,2.4600733246301436,0.4006847949468027,118,2,24,49675.55386984607
-8.642590034855967,2.2511389344274666,2.4629049165537884,0.3897644764138406,119,2,26,53769.89189817948
-8.101289820319295,2.2486137131480777,2.468653195725543,0.3920353831862715,120,3,22,58336.5692003172
-7.887965230897073,2.2478517086522127,2.4904992618253443,0.3898630072822903,115,3,30,48486.03651408503
-8.094391797079554,2.2543637407715384,2.4820445709091916,0.36553524523769454,114,3,31,52997.56986456413
-7.287184471070373,2.256574816006235,2.48305876692892,0.38113248997840227,117,3,24,57868.660667958226
-7.361995329750048,2.2549979100843816,2.4922006168136734,0.3656934386051684,117,3,27,48316.08466451535
-7.3240486229865835,2.259654210636542,2.4848113689391957,0.35290212020052,117,3,25,53259.32680599467
