Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Current Bawali Count
43.58178016150841,2.283665540435952,2.3532934553143647,4.442258191805166,33,0,0,107610.0340362191,145
85.46950863113383,2.2737093538011024,2.4151432991110897,2.1447257692274366,41,0,0,100040.67591280036,300
186.32403453281233,2.263139122885675,2.4534059094876026,2.2530474638306175,47,0,0,90090.65153355073,202
270.2991764156877,2.2681476695231146,2.4603353665158805,1.3169598051503884,51,0,18,80083.42191050856,300
-3617.093526125489,2.253943853203781,2.47024875390459,1.6038252893415947,56,1,26,68053.06985271009,250
-4315.542539299694,2.264732565010272,2.4791233910609867,1.2074084816256705,63,1,38,55951.78927433363,300
-782.7601599327876,2.262464048095542,2.496050446034985,1.2607533212050452,74,1,37,42259.71495856671,287
-821.1015616653737,2.2565221150751853,2.48332416933551,1.1595559260528232,81,1,39,28485.552399642092,300
-689.8150419196387,2.2590072370590804,2.4811359220020868,1.1554363416694537,87,1,37,14215.46002689644,297
-668.6222847564975,2.262036787833815,2.4904252531783833,1.140931510569841,91,1,46,19515.460026896442,300
-190.56085688032115,2.250673258901159,2.5016990871351066,1.362629582898184,93,1,31,25440.460026896442,261
-111.07304805153798,2.2364352038814106,2.48517061543798,1.296300275612202,100,2,28,32290.460026896442,261
-53.46425091319437,2.242566889946809,2.491002080934569,1.4432090364374206,106,3,32,23025.75739099433,220
-52.490588520250334,2.2453093214064808,2.488045316177558,1.0726338237862332,108,3,28,30450.75739099433,268
-26.44762769414998,2.254520785329224,2.487845143235968,1.386081613726686,112,2,50,22056.26180382068,192
-33.39061231361303,2.259135617735932,2.489981676553157,0.8844580040064963,116,2,36,29881.26180382068,277
-16.9146988339269,2.26048495535467,2.484702689129759,1.24461860408534,114,2,40,21738.840166065816,177
-24.533207331178264,2.2536608555658457,2.486563395203155,0.7180432068310021,116,2,47,29913.840166065813,286
-12.43438076487551,2.2490009550121983,2.4969926264571534,1.122857203260936,113,2,48,21740.399540813505,171
-19.79606539599073,2.244311113899764,2.491711673998994,0.5978762331232066,117,2,39,29890.39954081351,297
-11.22865049074447,2.23844500670417,2.489196549027963,0.969475134112285,120,2,39,20699.249426227034,186
-16.75739006414957,2.2424931716568257,2.4954553301010614,0.5392117631697713,119,2,32,28274.249426227034,300
-10.2576012797402,2.2405665461636626,2.5062536174176797,0.833896247490104,120,2,29,35799.249426227034,205
-11.70883693875301,2.2461371255237044,2.499842334488533,0.6692463404725116,118,2,40,27944.334273651544,247
-10.502065556025382,2.2456241224047973,2.4904984470086333,0.6529172143446146,117,2,35,35619.33427365155,243
-8.799550027735831,2.259831285363691,2.4941325512146206,0.712181581343918,127,2,40,27644.52690113916,213
-9.931376404718408,2.261370173921515,2.4973932780779253,0.5446068881703819,128,2,38,35594.526901139165,263
-6.862147172446207,2.266221313074572,2.484375671673625,0.7183444655233662,129,2,36,27845.636262663782,188
-9.23323821478916,2.262467220282654,2.491654416854434,0.462717180135165,132,1,44,35895.636262663786,277
-5.714583866374858,2.2519358751901697,2.497586974261117,0.6991700632801751,128,1,40,28120.654930364006,175
-8.86768773456063,2.259908827610128,2.4858005322888075,0.38327828747567244,123,1,33,36045.654930364006,295
-4.917130316536717,2.254414349727151,2.486354226653451,0.673680606923427,123,1,36,27912.83129237158,166
-8.181741693810272,2.2609283385536267,2.487140046370218,0.3496542258800314,120,1,38,35912.83129237158,300
-4.731338520907362,2.259907625323924,2.486327852809769,0.611784519525925,112,1,28,27249.974017647914,174
-7.5179919280063014,2.2537957326990474,2.4708000852549485,0.3304044046434239,113,2,41,35049.97401764791,300
-4.045614358795192,2.244424526306343,2.4693151439376355,0.6084712555266002,111,3,33,26902.922790229564,161
-6.953487052878864,2.2571900597495302,2.463443380886755,0.3094306436008494,114,2,41,34852.92279022957,300
-4.073183400199493,2.257525395484529,2.4726778615333247,0.5511079064854728,110,2,40,26148.993262341,174
-6.4749528110852435,2.2555997684913214,2.4794067590718134,0.2916200075353307,107,2,36,33923.993262341,300
-3.565551787665162,2.2575813383680585,2.4858883048787073,0.5424000249094239,111,2,38,25663.82545264855,163
-6.0382527822718215,2.2547290246801244,2.4800691075988257,0.2723864407388698,108,2,36,33688.825452648554,300
-3.484837259203946,2.2514238709421712,2.484858927457111,0.5019317437180136,107,2,37,25137.24448268704,170
-5.642852330875082,2.2487112648513246,2.468978723381804,0.2621655234792577,111,2,32,33112.24448268704,300
-3.1820943593252418,2.247204267289978,2.466143137474334,0.49032244845845263,116,3,32,24768.227411077278,165
-5.303100818418734,2.2401035260608237,2.4760502822150743,0.24812754843791285,117,3,28,32793.22741107728,300
-2.9493885039858725,2.251308513791559,2.477012315855688,0.4757686862954952,123,3,45,24563.68442444921,162
-5.027602294877382,2.2529366648877125,2.466992199917287,0.23897265083383082,123,2,36,32438.68442444921,300
