Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Current Bawali Count
-2.616925623627874,2.2813447929144552,2.5235999441330983,0.19484628464182693,71,1,18,39342.850995581415,255
-2.414435882230206,2.27961278480097,2.516442831374679,0.22066795724925548,72,1,20,33280.48893950426,229
-2.784044504054963,2.286669825156963,2.507334751676306,0.17140549955625664,69,1,11,26451.45245369882,272
-2.586937606976847,2.2732202601534266,2.513730530812396,0.18673767495892454,67,1,29,39526.45245369882,259
-2.4096447623613617,2.277298011067323,2.513807102930989,0.2045871219146365,72,1,22,32979.463434742145,236
-2.6749927794291155,2.2763702301251056,2.515478391218939,0.17250702203747198,72,0,22,25993.684020179302,268
-2.5285967061965335,2.2811460392255185,2.517998669554902,0.1754172907486869,71,0,14,39168.6840201793,261
-2.2745052610103396,2.281629895844585,2.52426069011535,0.20679310907191759,75,0,26,32820.3303930316,229
-2.6054155607929337,2.281634828980313,2.507286282292606,0.16730489258734438,79,0,22,26075.1148693811,269
-2.414717800660709,2.277664882949031,2.5166350050878132,0.18204154919892346,80,0,21,38950.1148693811,254
-2.3616723857297175,2.274039912953536,2.515016091926254,0.1859143478355325,79,0,13,32175.92714490037,245
-2.5462723332814936,2.2672790977992876,2.512278318877291,0.16237793684625745,82,0,23,24756.51086803871,268
-2.448609562234322,2.264558939116615,2.5119487574548565,0.16288068891818053,82,0,26,37856.510868038706,268
-2.1227427316761833,2.2696337919349894,2.5004667137612397,0.2007766149750317,80,0,11,31343.144740374773,224
-2.4999836480208177,2.2624602036615,2.5049836077776453,0.15460257377380351,82,0,9,24552.5347557806,273
-2.3102749337475825,2.2665894626459955,2.5036785468591143,0.16985383416028418,85,0,15,37477.5347557806,255
-2.241315622484462,2.2742763495301586,2.506919329795065,0.17781459776538147,89,0,15,30583.113590910656,245
-2.394822968984776,2.2762101466613185,2.513976052715893,0.16170244989585061,90,0,22,23242.63022826347,264
-2.3197550976349284,2.2847624090143253,2.512908674567459,0.15639755323096413,88,0,19,36492.63022826347,267
-1.9364465186120594,2.2901794253054844,2.5203645752187676,0.19862762707262122,86,0,20,30416.143306902835,213
-2.4706243579917895,2.2782029306001066,2.518320292066137,0.13778416546567857,84,0,26,23572.537066870787,284
-2.1607367630096497,2.2889406819023383,2.5210077161617814,0.16564639304149364,82,0,22,36472.53706687079,251
-2.133992261251002,2.283311038430544,2.5228772015473067,0.1699925272479419,77,0,17,29735.843476229646,244
-2.3065227194318454,2.284290420810359,2.516988322959775,0.14894182470757827,78,0,14,22230.112510194755,268
-2.218877765554885,2.2788092368867456,2.520313973057351,0.14747221282283773,78,0,17,35405.112510194755,268
-1.91764302248878,2.2786234853574188,2.51866621651263,0.1837604432174784,78,0,25,28861.244629789722,223
-2.301312018144294,2.2803505924302967,2.525811609349529,0.13707508713779532,75,0,17,21878.185390211143,277
-2.0651106497503253,2.2634588279477468,2.5224988345779527,0.15596715072778802,79,0,20,34828.18539021115,253
