Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Fishermen,Bawali,Farmers
39.08372537099119,3.3189292858233292,2.616764960973299,2.5163393045012064,0,0,300,-36.15179882604893,300,300,300
34.183725370991205,3.1379612747487027,2.5623344684159295,2.8163393045012306,0,0,300,0.0,300,300,300
34.0837253709912,2.9494799967685674,2.5004751528026117,1.847139901618001,0,0,19,0.0,300,300,300
34.23039203765788,2.7827379242564034,2.4683432930220928,2.7901872251131254,0,1,286,100.0,300,300,300
34.3484253709912,2.6386516784213865,2.4111648939250405,1.8542059476244575,1,3,8,500.0,300,300,300
36.307877345128816,2.526296639787573,2.3896038449159183,2.823082911672361,1,5,284,113.19077587189909,300,300,300
34.80913567846214,2.451399459441195,2.3515541440663585,2.941237057255979,2,6,289,233.1907758718991,300,300,300
35.093494583738554,2.39457920265803,2.3335372388273488,1.877798910118764,2,7,8,-36.32638242048444,300,300,300
34.52338625040521,2.353742309402326,2.284554173736363,2.847855522291355,2,9,284,83.67361757951556,300,300,300
34.59131125040521,2.324486442097778,2.2541691836049607,2.971414965072614,12,10,290,203.67361757951556,300,300,300
34.95485840408746,2.3044390893424733,2.243259493940656,1.901985713326241,16,12,7,-26.740992887911716,300,300,300
