Golpata Extraction Capacity,Catching Capacity Mangrove,Catching Capacity Household,Crop Production Capacity,Mangrove Fishers in Loan,Household Fishers in Loan,Farmers in Loan,Golpata Stock,Current Bawali Count
-9.101127117072162,2.2591806487508554,2.4908966125110137,0.4522463293407661,110,2,45,55290.92724179587,259
-7.823921523915064,2.256173434280246,2.495608544807583,0.4719709175212849,108,2,48,59375.4520340055,234
-7.820411129112552,2.252869782856689,2.4943048912179657,0.4383207819762025,108,2,34,50336.66327517501,241
-7.952234167863193,2.252688638561442,2.4966930800887814,0.41042434172665715,109,2,36,54203.14529295813,259
-7.0488374622068966,2.2477052535816693,2.4882789434635675,0.42475785185710674,114,2,32,57870.61093390205,237
-7.423098641580731,2.251959674224969,2.478184151998037,0.40099712955131506,114,1,34,48124.09422834829,256
-7.318103663461668,2.2483420112084214,2.479724414511855,0.38495677617994456,113,1,23,50906.165530286824,262
-6.721602626582366,2.257594888572342,2.47924864246649,0.3945303140727252,112,1,31,53793.151045990264,246
-6.632964322085649,2.254054010359602,2.4721856848300656,0.3809642760796182,109,1,37,57008.90748638021,252
-6.302823635076758,2.2598884948738465,2.4813325119677,0.38039689003109406,111,1,46,47129.84654446991,242
-6.675006901182617,2.2560142383994797,2.486497912564814,0.34242809339125796,113,0,45,50251.26789063943,269
-5.732290739199511,2.2548952355528034,2.4986249894920523,0.3676505143941484,111,0,40,53282.21564994606,234
-6.501708581205056,2.252613153799728,2.4921329131196113,0.31722010874220835,111,0,37,56596.52045401971,278
-5.096941416125276,2.2501212870970493,2.474837493797743,0.3664324284662888,110,0,35,59845.113021700876,221
-5.971719448636561,2.2467521004682176,2.476455668660189,0.3185678244694859,114,0,31,50293.896489139144,265
-5.387426311279852,2.253804608886625,2.4883664451916947,0.3316242533119875,118,0,28,53205.89561533835,247
-5.389648837871257,2.252622438942136,2.502298321964144,0.3223645056777836,124,0,29,56562.089354805685,252
-5.248471586748564,2.251145753052883,2.4979656688877907,0.3171390007618595,123,0,39,59685.53162256274,254
-4.932948297503514,2.2491059839607797,2.4927703011795765,0.32220097349618654,121,0,43,49842.01917137209,239
-5.369179922859849,2.2475180266614316,2.4958596223720533,0.28445455823926474,125,0,40,52695.44960852098,271
-4.719132132661574,2.2558631745834616,2.484405529506232,0.30735770744277263,123,0,43,55461.55032783493,240
-5.1144013790619764,2.2492851816862873,2.482610716896337,0.27427607076339267,118,0,36,58345.50601306306,269
-4.494457883565747,2.2495945308594187,2.4856160632105766,0.29924915969696964,119,0,39,48017.259550215844,235
-5.186080720488622,2.2502266907314805,2.481425212190967,0.26359083952189777,117,0,41,50491.60605597691,282
-4.332521123352359,2.2442598506822895,2.476254121435206,0.2933716102473868,110,1,22,52916.877158746116,236
-4.834248079151638,2.2491640194624085,2.4929648962740005,0.2598467829739393,114,1,27,55932.616489190485,273
-4.144300859937162,2.255682204427019,2.4901076087298284,0.2869694925322998,116,1,42,59011.04784315017,237
-4.40789490823082,2.2581517851387076,2.4775661462685656,0.26574512197809597,120,1,42,49108.64949499493,255
